Date(UTC);Pair;Base Asset;Quote Asset;Type;Price;Amount;Total;Fee;Fee Coin
2025-07-19 20:45:24;BTC/EUR;BTC;EUR;SELL;101472.81;0.01178;1195.3497018;1.13558222;EUR
2025-07-19 20:45:24;BTC/EUR;BTC;EUR;SELL;101475.78;0.00497;504.3346266;0.4791179;EUR
2025-07-19 20:45:24;BTC/EUR;BTC;EUR;SELL;101475.78;0.0011;111.623358;0.10604219;EUR
2025-07-19 20:45:24;BTC/EUR;BTC;EUR;SELL;101470.75;0.00734;744.795305;0.70755554;EUR
2025-07-19 20:45:14;BTC/EUR;BTC;EUR;BUY;101462.76;0.0021;213.071796;0.000002;BTC
2025-07-19 20:45:14;BTC/EUR;BTC;EUR;BUY;101462.76;0.02312;2345.8190112;0.00002196;BTC
2025-07-19 20:43:59;BTC/EUR;BTC;EUR;SELL;101472.42;0.00538;545.9216196;0.51862554;EUR
2025-07-19 20:43:59;BTC/EUR;BTC;EUR;SELL;101472.41;0.01456;1477.4382896;1.40356638;EUR
2025-07-19 20:43:59;BTC/EUR;BTC;EUR;SELL;101469.45;0.00524;531.699918;0.50511492;EUR
2025-07-19 20:43:49;BTC/EUR;BTC;EUR;BUY;101488.15;0.0132;1339.64358;0.00001254;BTC
2025-07-19 20:43:49;BTC/EUR;BTC;EUR;BUY;101488.15;0.01196;1213.798274;0.00001136;BTC
2025-07-19 20:43:49;BTC/EUR;BTC;EUR;BUY;101488.15;0.00006;6.089289;0.00000006;BTC
2025-07-19 20:42:39;BTC/EUR;BTC;EUR;SELL;101467.24;0.00391;396.7369084;0.37690006;EUR
2025-07-19 20:42:39;BTC/EUR;BTC;EUR;SELL;101469.39;0.00666;675.7861374;0.64199683;EUR
2025-07-19 20:42:39;BTC/EUR;BTC;EUR;SELL;101471.06;0.01456;1477.4186336;1.4035477;EUR
2025-07-19 20:42:39;BTC/EUR;BTC;EUR;SELL;101471.06;0.0001;10.147106;0.00963975;EUR
2025-07-19 20:42:31;BTC/EUR;BTC;EUR;BUY;101471.07;0.01181;1198.3733367;0.00001122;BTC
2025-07-19 20:42:31;BTC/EUR;BTC;EUR;BUY;101471.07;0.01342;1361.7417594;0.00001275;BTC
2025-07-19 20:41:17;BTC/EUR;BTC;EUR;SELL;101466.18;0.00906;919.2835908;0.87331941;EUR
2025-07-19 20:41:17;BTC/EUR;BTC;EUR;SELL;101466.18;0.00378;383.5421604;0.36436505;EUR
2025-07-19 20:41:17;BTC/EUR;BTC;EUR;SELL;101466.18;0.01235;1253.107323;1.19045196;EUR
2025-07-19 20:41:05;BTC/EUR;BTC;EUR;BUY;101462.01;0.00378;383.5263978;0.00000359;BTC
2025-07-19 20:41:05;BTC/EUR;BTC;EUR;BUY;101462.01;0.00818;829.9592418;0.00000777;BTC
2025-07-19 20:41:05;BTC/EUR;BTC;EUR;BUY;101462.01;0.01328;1347.4154928;0.00001262;BTC
2025-07-19 20:37:25;XRP/EUR;XRP;EUR;SELL;2.9512;114.7;338.50264;0.32157751;EUR
2025-07-19 20:37:25;XRP/EUR;XRP;EUR;SELL;2.9511;420.1;1239.75711;1.17776925;EUR
2025-07-19 20:37:25;XRP/EUR;XRP;EUR;SELL;2.9512;109.6;323.45152;0.30727894;EUR
2025-07-19 20:37:25;XRP/EUR;XRP;EUR;SELL;2.9512;144.6;426.74352;0.40540634;EUR
2025-07-19 20:37:16;XRP/EUR;XRP;EUR;BUY;2.9503;109.6;323.35288;0.10412;XRP
2025-07-19 20:37:16;XRP/EUR;XRP;EUR;BUY;2.9503;679.4;2004.43382;0.64543;XRP
2025-07-19 20:36:06;ETH/EUR;ETH;EUR;SELL;3079.39;0.2434;749.523526;0.71204735;EUR
2025-07-19 20:36:06;ETH/EUR;ETH;EUR;SELL;3079.39;0.513;1579.72707;1.50074072;EUR
2025-07-19 20:35:55;ETH/EUR;ETH;EUR;BUY;3078.86;0.2307;710.293002;0.00021917;ETH
2025-07-19 20:35:55;ETH/EUR;ETH;EUR;BUY;3078.94;0.2926;900.897844;0.00027797;ETH
